"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ACTINOPTERYGII","81","11","92","128","8","228","697","1,089","1,348","3,134","0","714","15,269","4,786","23,995"
"AMPHIBIA","36","2","38","156","1","195","722","1,144","740","2,606","0","406","3,291","1,145","7,486"
"INSECTA","59","1","60","93","0","153","425","971","949","2,345","3","720","6,096","3,217","12,441"
"GASTROPODA","265","16","281","137","2","420","640","535","1,003","2,178","0","671","2,681","1,647","7,458"
"REPTILIA","32","2","34","48","0","82","433","784","625","1,842","2","565","6,292","1,487","10,222"
"AVES","159","5","164","22","0","186","233","413","754","1,400","0","991","8,587","46","11,188"
"MAMMALIA","85","2","87","29","0","116","233","550","557","1,340","0","373","3,334","839","5,973"
"MALACOSTRACA","7","1","8","18","1","27","141","161","311","613","0","72","1,204","1,130","3,027"
"CHONDRICHTHYES","0","0","0","3","0","3","91","124","182","397","0","125","539","173","1,234"
"ANTHOZOA","0","0","0","2","0","2","26","27","203","256","0","180","280","135","851"
"ARACHNIDA","9","0","9","21","0","30","73","107","71","251","0","23","94","64","441"
"BIVALVIA","32","0","32","15","0","47","84","69","61","214","4","58","340","169","817"
"DIPLOPODA","3","0","3","4","0","7","35","32","15","82","0","66","52","41","244"
"MAXILLOPODA","1","0","1","0","0","1","6","0","47","53","0","0","0","19","73"
"BRANCHIOPODA","0","0","0","0","0","0","8","13","22","43","1","1","1","1","47"
"CLITELLATA","2","0","2","4","0","6","6","13","8","27","0","12","74","107","222"
"HEXANAUPLIA","1","0","1","0","0","1","1","0","24","25","8","0","0","3","37"
"HOLOTHUROIDEA","0","0","0","0","0","0","0","7","9","16","0","0","111","244","371"
"OSTRACODA","2","0","2","0","0","2","2","0","9","11","0","0","0","0","13"
"CHILOPODA","0","0","0","2","0","2","3","6","1","10","0","0","1","0","11"
"HYDROZOA","0","0","0","1","0","1","5","1","4","10","0","1","5","1","17"
"MYXINI","0","0","0","0","0","0","1","2","6","9","0","2","35","30","76"
"UDEONYCHOPHORA","0","0","0","0","0","0","3","2","4","9","0","1","0","1","11"
"CEPHALASPIDOMORPHI","0","0","0","1","0","1","2","4","2","8","0","3","24","3","38"
"CEPHALOPODA","0","0","0","0","0","0","1","2","2","5","0","2","324","419","750"
"COLLEMBOLA","0","0","0","2","0","2","2","0","2","4","0","4","0","1","9"
"ENOPLA","1","0","1","1","0","2","1","1","1","3","0","0","1","1","6"
"SARCOPTERYGII","0","0","0","0","0","0","1","1","1","3","0","0","5","0","8"
"MEROSTOMATA","0","0","0","0","0","0","0","1","1","2","0","0","0","2","4"
"ASTEROIDEA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"POLYCHAETA","0","0","0","0","0","0","1","0","0","1","0","0","0","1","2"
"POLYPLACOPHORA","0","0","0","0","0","0","0","1","0","1","0","1","0","0","2"
"SOLENOGASTRES","0","0","0","0","0","0","0","0","1","1","0","2","1","0","4"
"ECHINOIDEA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"MONOPLACOPHORA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"TURBELLARIA","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1"
"Total","776","40","816","687","12","1,515","3,877","6,060","6,963","16,900","18","4,994","48,642","15,712","87,082"
