"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Italy","9","18","4","11","72","86","189","122","47","0","558"
"Spain","18","23","19","7","98","167","185","290","47","0","854"
"Greece","12","19","10","5","97","179","184","86","9","0","601"
"Portugal","15","17","5","2","88","87","169","145","12","0","540"
"France","13","19","5","4","76","95","130","65","59","0","466"
"Switzerland","5","10","0","1","9","10","73","20","43","0","171"
"Slovenia","8","11","2","2","52","33","69","13","21","0","211"
"Germany","7","12","0","0","35","30","68","51","53","0","256"
"Romania","14","18","2","0","21","25","67","14","9","0","170"
"Austria","5","13","1","0","13","43","64","38","50","0","227"
"Serbia","8","14","1","1","14","8","59","9","7","0","121"
"Montenegro","7","13","4","2","51","23","55","6","4","0","165"
"Croatia","10","16","4","2","80","50","45","11","26","0","244"
"Czechia","4","10","0","0","2","6","41","31","33","0","127"
"Bulgaria","10","18","2","1","21","32","40","13","9","0","146"
"Bosnia and Herzegovina","5","9","3","2","51","19","38","5","1","0","133"
"Hungary","6","14","1","0","11","8","38","45","20","0","143"
"Slovakia","5","13","0","0","7","7","37","32","33","0","134"
"Poland","4","13","0","0","9","7","35","16","29","0","113"
"North Macedonia","7","13","2","1","13","70","28","6","7","0","147"
"Albania","4","8","5","2","59","51","23","5","0","0","157"
"United Kingdom","4","11","1","0","61","7","23","53","40","0","200"
"Belgium","3","8","0","0","21","6","16","3","23","0","80"
"Denmark","2","10","0","0","27","5","15","2","30","0","91"
"Sweden","1","12","0","0","25","4","15","12","48","0","117"
"Netherlands","4","10","0","0","23","5","12","3","26","0","83"
"Latvia","1","13","0","0","6","4","12","1","10","0","47"
"Finland","2","12","0","0","5","3","12","4","30","0","68"
"Norway","8","11","0","0","33","3","12","20","48","0","135"
"Lithuania","1","11","0","0","6","3","7","2","14","0","44"
"Malta","3","6","1","0","43","5","6","4","1","0","69"
"Estonia","1","11","0","0","4","4","6","2","28","0","56"
"Andorra","2","3","1","0","0","3","5","1","0","0","15"
"Liechtenstein","0","3","0","0","0","2","5","1","4","0","15"
"Gibraltar","4","10","0","1","34","5","4","1","0","0","59"
"Luxembourg","0","3","0","0","1","5","3","3","2","0","17"
"Ireland","4","9","1","0","43","4","3","8","20","0","92"
"Monaco","4","0","0","0","37","2","3","2","0","0","48"
"Iceland","6","7","0","0","21","0","1","0","6","0","41"
"Jersey","0","0","0","0","15","2","0","0","1","0","18"
"San Marino","1","1","0","0","2","1","0","0","0","0","5"
"Guernsey","0","0","0","0","15","1","0","0","0","0","16"
"Greenland","9","6","0","0","13","0","0","1","2","0","31"
"Faroe Islands","4","5","0","0","21","0","0","1","4","0","35"
"Svalbard and Jan Mayen","4","4","0","0","5","0","0","1","0","0","14"
"Holy See (Vatican City State)","2","0","0","0","0","0","0","0","0","0","2"
"Åland Islands","0","0","0","0","0","0","0","1","0","0","1"
"Isle of Man","0","0","0","0","9","0","0","1","0","0","10"
