"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Bangladesh","0","0","0","0","0","0","40","66","83","189","0","83","1,721","111","2,104"
"Bhutan","0","0","0","0","0","0","8","19","37","64","0","48","795","11","918"
"British Indian Ocean Territory","0","0","0","0","0","0","3","15","80","98","2","103","1,143","44","1,390"
"Brunei Darussalam","0","0","0","0","0","0","13","56","100","169","0","127","1,755","91","2,142"
"Cambodia","0","0","0","1","0","1","41","74","169","284","0","178","2,299","193","2,954"
"Disputed Territory","0","0","0","0","0","0","1","6","14","21","0","7","1,213","35","1,276"
"India","0","0","0","6","0","6","118","278","417","813","2","361","4,723","949","6,848"
"Indonesia","3","0","3","23","3","29","195","366","672","1,233","4","663","6,967","1,538","10,408"
"Lao People's Democratic Republic","1","0","1","2","0","3","43","58","102","203","0","97","1,588","235","2,124"
"Malaysia","1","0","1","13","0","14","105","200","450","755","3","442","4,525","506","6,232"
"Maldives","0","0","0","0","0","0","6","25","60","91","2","94","1,472","71","1,730"
"Myanmar","0","0","0","1","0","1","46","99","187","332","3","267","3,447","445","4,494"
"Nepal","0","0","0","0","0","0","15","30","58","103","0","73","1,341","71","1,588"
"Philippines","15","0","15","8","0","23","64","205","424","693","4","352","4,143","651","5,858"
"Singapore","1","0","1","1","0","2","23","57","216","296","3","228","2,025","152","2,705"
"Sri Lanka","18","0","18","5","0","23","120","203","195","518","2","178","2,224","167","3,107"
"Thailand","2","0","2","5","0","7","64","139","351","554","2","365","4,239","532","5,694"
"Timor-Leste","0","0","0","0","0","0","7","19","26","52","0","39","1,661","66","1,818"
"Viet Nam","1","0","1","9","0","10","93","197","308","598","2","254","3,671","676","5,202"
